Sequence	Index	GC Skew (1kb)
chr01	146000	-0.03903904
chr01	147000	0.00713267
chr01	148000	-0.15186246
chr01	149000	-0.09269663
chr01	150000	-0.05579399
chr01	151000	-0.03987730
chr01	152000	0.05780347
chr01	153000	0.12721893
chr01	154000	-0.01769912
chr01	155000	-0.08766716
chr01	156000	-0.13131313
chr01	157000	-0.04464286
chr01	158000	0.03869048
chr01	159000	0.00294985
chr01	160000	-0.05865522
chr01	161000	0.10144928
chr01	162000	0.10872894
chr01	163000	0.02432046
chr01	164000	0.04273504
chr01	165000	-0.04294479
chr01	166000	0.08571429
chr01	167000	0.02023121
chr01	168000	0.11388456
chr01	169000	0.11747851
chr01	170000	0.03592814
chr01	171000	-0.10220994
chr01	172000	-0.08714919
chr01	173000	-0.12965723
chr01	174000	-0.19764012
chr01	175000	-0.08781870
chr01	176000	-0.09550562
chr01	177000	0.04985337
chr01	178000	0.10271903
chr01	179000	0.03129657
chr01	180000	0.00606061
chr01	181000	-0.04584527
chr01	182000	-0.02762431
chr01	183000	0.00277008
chr01	184000	0.10086455
chr01	185000	-0.05413105
chr01	186000	0.07070707
chr01	187000	0.00854701
chr01	188000	-0.00845070
chr01	189000	0.06685633
chr01	190000	-0.01601164
chr01	191000	-0.07670043
chr01	192000	-0.08990318
chr01	193000	-0.01876676
chr01	194000	0.08115942
chr01	195000	-0.02695035
chr01	196000	0.00703235
chr01	197000	0.00325733
chr01	198000	-0.01212121
chr01	199000	-0.02339181
chr01	200000	-0.00685871
chr01	201000	0.04035874
chr01	202000	0.05754277
chr01	203000	0.12937595
chr01	204000	0.01610542
chr01	205000	-0.00290698
chr01	206000	-0.02017291
chr01	207000	0.02431611
chr01	208000	0.07234043
chr01	209000	0.01724138
chr01	210000	-0.01037037
chr01	211000	0.06020558
chr01	212000	-0.00765697
chr01	213000	0.06086957
chr01	214000	-0.02127660
chr01	215000	-0.03932584
chr01	216000	-0.06881406
chr01	217000	-0.02526003
chr01	218000	0.00000000
chr01	219000	0.03660322
chr01	220000	0.00449775
chr01	221000	-0.01262272
chr01	222000	0.00882353
chr01	223000	0.00000000
chr01	224000	0.08433735
chr01	225000	0.02710027
chr01	226000	0.08806818
chr01	227000	0.13649025
chr01	228000	0.07095047
chr01	229000	0.04571429
chr01	230000	-0.01754386
chr01	231000	0.07407407
chr01	232000	-0.04941860
chr01	233000	-0.08039492
chr01	234000	-0.06534091
chr01	235000	0.00595238
chr01	236000	0.02052786
chr01	237000	-0.03614458
chr01	238000	0.07692308
chr01	239000	-0.03337784
chr01	240000	-0.15835777
chr01	241000	0.11273792
chr01	242000	0.07624633
chr01	243000	-0.02831595
chr01	244000	0.00000000
chr01	245000	-0.07290234
chr01	246000	-0.03428571
chr01	247000	-0.06547619
chr01	248000	-0.08344733
chr01	249000	-0.06648936
chr01	250000	-0.06864065
chr01	251000	-0.07242340
chr01	252000	-0.06738544
chr01	253000	-0.00132802
chr01	254000	0.03438790
chr01	255000	0.04685408
chr01	256000	-0.13279133
chr01	257000	-0.10626703
chr01	258000	-0.14951989
chr01	259000	-0.11706629
chr01	260000	0.01744966
chr01	261000	0.02578019
chr01	262000	-0.14407989
chr01	263000	-0.05157593
chr01	264000	-0.05417277
chr01	265000	-0.10112360
chr01	266000	-0.01040119
chr01	267000	0.09759547
chr01	268000	0.05154639
chr01	269000	-0.01474926
chr01	270000	-0.05000000
chr01	271000	-0.00282486
chr01	272000	0.07932011
chr01	273000	0.05367232
chr01	274000	0.06944444
chr01	275000	-0.06811989
chr01	276000	0.04854369
chr01	277000	-0.11564626
chr01	278000	-0.08630952
chr01	279000	-0.10000000
chr01	280000	0.00847458
chr01	281000	-0.03166227
chr01	282000	0.04249292
chr01	283000	0.09952607
chr01	284000	0.14106583
chr01	285000	0.00439239
chr01	286000	-0.06213018
chr01	287000	-0.02202643
chr01	288000	-0.03283582
chr01	289000	-0.13978495
chr01	290000	-0.20771513
chr01	291000	-0.04962406
chr01	292000	-0.10724638
chr01	293000	-0.04494382
chr01	294000	0.00000000
chr01	295000	-0.00135318
chr01	296000	0.04532578
chr01	297000	-0.04958678
chr01	298000	0.05645161
chr01	299000	0.04252401
chr01	300000	0.08806818
chr01	301000	0.14949202
chr01	302000	-0.00271003
chr01	303000	0.02964960
chr01	304000	0.03419973
chr01	305000	-0.02150538
chr01	306000	0.01617251
chr01	307000	-0.07422402
chr01	308000	0.00862069
chr01	309000	-0.04469274
chr01	310000	-0.07713499
chr01	311000	-0.09234828
chr01	312000	-0.04939920
chr01	313000	0.02623907
chr01	314000	-0.03120357
chr01	315000	0.00416089
chr01	316000	-0.02627939
chr01	317000	-0.01818182
chr01	318000	-0.05416116
chr01	319000	-0.10252996
chr01	320000	-0.06204906
chr01	321000	-0.04958678
chr01	322000	-0.00821918
chr01	323000	-0.00573066
chr01	324000	0.10070922
chr01	325000	-0.00286533
chr01	326000	-0.06762590
chr01	327000	-0.08123249
chr01	328000	-0.07919463
chr01	329000	-0.02222222
chr01	330000	0.01280228
chr01	331000	0.03846154
chr01	332000	0.04885057
chr01	333000	-0.01690141
chr01	334000	-0.03857567
chr01	335000	0.02694611
chr01	336000	0.13093525
chr01	337000	0.02222222
chr01	338000	0.06194690
chr01	339000	-0.00139082
chr01	340000	0.01156069
chr01	341000	-0.03735632
chr01	342000	-0.07541899
chr01	343000	-0.01699717
chr01	344000	-0.03190014
chr01	345000	-0.00137174
chr01	346000	-0.02888583
chr01	347000	0.03347889
chr01	348000	0.08454810
chr01	349000	0.10014514
chr01	350000	0.03823529
chr01	351000	-0.01949861
chr01	352000	-0.01680672
chr01	353000	-0.09166667
chr01	354000	0.01221167
chr01	355000	0.04076087
chr01	356000	-0.12950601
chr01	357000	-0.05405405
chr01	358000	0.03526093
chr01	359000	-0.01432665
chr01	360000	0.03328509
chr01	361000	0.01111111
chr01	362000	0.02592087
chr01	363000	0.13131313
chr01	364000	0.17138599
chr01	365000	0.24816446
chr01	366000	0.14080460
chr01	367000	-0.08522727
chr01	368000	-0.13969571
chr01	369000	-0.07994390
chr01	370000	0.12594841
chr01	371000	0.14577259
chr01	372000	0.07713126
chr01	373000	0.07297297
chr01	374000	0.06169297
chr01	375000	0.00574713
chr01	376000	0.03703704
chr01	377000	0.01086957
chr01	378000	0.08771930
chr01	379000	0.08108108
chr01	380000	0.09145427
chr01	381000	0.06311360
chr01	382000	-0.07310345
chr01	383000	0.05718271
chr01	384000	0.12058824
chr01	385000	0.01729107
chr01	386000	0.08522727
chr01	387000	-0.00995733
chr01	388000	0.00554017
chr01	389000	-0.07940781
chr01	390000	-0.10242588
chr01	391000	-0.06525038
chr01	392000	-0.04748603
chr01	393000	-0.07112971
chr01	394000	-0.09523810
chr01	395000	-0.08355795
chr01	396000	-0.02881844
chr01	397000	-0.01373626
chr01	398000	0.04138852
chr01	399000	0.10643890
chr01	400000	-0.04011065
chr01	401000	-0.03278689
chr01	402000	-0.00273224
chr01	403000	-0.10547397
chr01	404000	-0.08115543
chr01	405000	-0.02453102
chr01	406000	0.09909910
chr01	407000	0.10324484
chr01	408000	0.12223859
chr01	409000	-0.05074627
chr01	410000	-0.14080460
chr01	411000	-0.07062147
chr01	412000	-0.06060606
chr01	413000	-0.08163265
chr01	414000	0.05014749
chr01	415000	-0.00763359
chr01	416000	0.05750799
chr01	417000	-0.13994169
chr01	418000	-0.00835655
chr01	419000	-0.05433186
chr01	420000	-0.06250000
chr01	421000	0.02011494
chr01	422000	0.07488987
chr01	423000	0.10041265
chr01	424000	0.02765648
chr01	425000	0.01870504
chr01	426000	0.01892285
chr01	427000	-0.00283286
chr01	428000	0.02127660
chr01	429000	-0.09854604
chr01	430000	-0.03805175
chr01	431000	0.01501502
chr01	432000	0.03197674
chr01	433000	0.16093535
chr01	434000	0.10014514
chr01	435000	-0.01739130
chr01	436000	0.04336043
chr01	437000	-0.00426743
chr01	438000	-0.02749638
chr01	439000	0.14647887
chr01	440000	0.07193230
chr01	441000	-0.13793103
chr01	442000	-0.06162465
chr01	443000	-0.05154639
chr01	444000	-0.16788321
chr01	445000	-0.04201681
chr01	446000	-0.04113475
chr01	447000	-0.15351506
chr01	448000	-0.06388889
chr01	449000	-0.05706522
chr01	450000	0.03103914
chr01	451000	0.03216783
chr01	452000	-0.10872483
chr01	453000	-0.03225806
chr01	454000	-0.07371349
chr01	455000	-0.06241700
chr01	456000	-0.01630435
chr01	457000	-0.04672897
chr01	458000	-0.08990318
chr01	459000	-0.03074671
chr01	460000	-0.08416548
chr01	461000	0.09329446
chr01	462000	0.02790015
chr01	463000	0.07056799
chr01	464000	0.11072664
chr01	465000	-0.05750799
chr01	466000	-0.04448105
chr01	467000	-0.12369598
chr01	468000	-0.12672176
chr01	469000	-0.11470985
chr01	470000	-0.00276243
chr01	471000	-0.05035971
chr01	472000	0.02002670
chr01	473000	-0.06539510
chr01	474000	0.09413370
chr01	475000	0.01856764
chr01	476000	0.00892857
chr01	477000	0.02086231
chr01	478000	0.06550218
chr01	479000	0.07862069
chr01	480000	0.01875902
chr01	481000	-0.06250000
chr01	482000	-0.01515152
chr01	483000	0.05718702
chr01	484000	0.06508876
chr01	485000	-0.00574713
chr01	486000	0.02808989
chr01	487000	0.01198402
chr01	488000	-0.01517241
chr01	489000	0.01373626
chr01	490000	-0.03614458
chr01	491000	0.01358696
chr01	492000	-0.09465021
chr01	493000	-0.09523810
chr01	494000	-0.12449799
chr01	495000	0.00000000
chr01	496000	-0.02888583
chr01	497000	0.00145138
chr01	498000	0.06593407
chr01	499000	0.14767932
chr01	500000	0.09195402
chr01	501000	-0.04422254
chr01	502000	0.07449857
chr01	503000	-0.02757620
chr01	504000	0.09623431
chr01	505000	0.02234637
chr01	506000	-0.01237964
chr01	507000	-0.04628331
chr01	508000	0.04432133
chr01	509000	0.08016878
chr01	510000	0.05747126
chr01	511000	0.04411765
chr01	512000	-0.05815603
chr01	513000	0.15492958
chr01	514000	0.02849389
chr01	515000	-0.01617251
chr01	516000	-0.07734807
chr01	517000	-0.02818792
chr01	518000	-0.08416548
chr01	519000	-0.03262411
chr01	520000	-0.06377205
chr01	521000	-0.03054449
chr01	522000	0.04120879
chr01	523000	0.06944444
chr01	524000	0.04696133
chr01	525000	-0.03262411
chr01	526000	0.00000000
chr01	527000	0.02932551
chr01	528000	0.00965517
chr01	529000	-0.03988183
chr01	530000	-0.01605839
chr01	531000	0.15851852
chr01	532000	0.05352113
chr01	533000	0.00277008
chr01	534000	-0.00284900
chr01	535000	0.01120448
chr01	536000	0.09843081
chr01	537000	0.04447633
chr01	538000	0.02613480
chr01	539000	0.09142857
chr01	540000	0.04078762
chr01	541000	0.14000000
chr01	542000	0.06401138
chr01	543000	-0.00557103
chr01	544000	0.17500000
chr01	545000	0.01955307
chr01	546000	-0.04046243
chr01	547000	0.11834320
chr01	548000	0.13953488
chr01	549000	0.09226190
chr01	550000	0.13253012
chr01	551000	-0.14242879
chr01	552000	0.12574850
chr01	553000	0.09629630
chr01	554000	0.00874636
chr01	555000	-0.15091678
chr01	556000	-0.11756168
chr01	557000	0.00906344
chr01	558000	-0.03244838
chr01	559000	0.01408451
chr01	560000	-0.12430939
chr01	561000	-0.05980529
chr01	562000	0.01729107
chr01	563000	0.07193230
chr01	564000	0.08513709
chr01	565000	0.04538799
chr01	566000	-0.04373178
chr01	567000	-0.03536068
chr01	568000	-0.06821480
chr01	569000	-0.01345291
chr01	570000	0.01634473
chr01	571000	-0.02170767
chr01	572000	0.01479290
chr01	573000	-0.01605839
chr01	574000	0.06552707
chr01	575000	0.10591472
chr01	576000	-0.03030303
chr01	577000	0.00576369
chr01	578000	-0.01547988
chr01	579000	-0.05740181
chr01	580000	0.04848485
chr01	581000	0.07926829
chr01	582000	-0.03726708
chr01	583000	-0.17877095
chr01	584000	0.08321965
chr01	585000	0.10410959
chr01	586000	-0.04748201
chr01	587000	-0.10102489
chr01	588000	0.11590296
chr01	589000	-0.02338377
chr01	590000	-0.01939058
chr01	591000	-0.02150538
chr01	592000	0.00410397
chr01	593000	-0.08064516
chr01	594000	-0.01690507
chr01	595000	-0.06089310
chr01	596000	0.06204906
chr01	597000	0.08867667
chr01	598000	0.11680912
chr01	599000	0.02359882
chr01	600000	-0.09340659
chr01	601000	-0.13370474
chr01	602000	-0.05681818
chr01	603000	-0.04993252
chr01	604000	-0.11549296
chr01	605000	-0.06013986
chr01	606000	-0.11731844
chr01	607000	-0.03283582
chr01	608000	-0.00424328
chr01	609000	0.08022923
chr01	610000	0.10315186
chr01	611000	0.10704225
chr01	612000	0.06206897
chr01	613000	0.04482226
chr01	614000	0.02255639
chr01	615000	-0.00914634
chr01	616000	-0.09544787
chr01	617000	-0.00143885
chr01	618000	0.07412587
chr01	619000	0.01287554
chr01	620000	0.07560628
chr01	621000	-0.05514158
chr01	622000	-0.05278174
chr01	623000	0.01321586
chr01	624000	-0.14285714
chr01	625000	-0.12270804
chr01	626000	-0.15239478
chr01	627000	-0.09467456
chr01	628000	-0.03617945
chr01	629000	-0.12855210
chr01	630000	-0.06451613
chr01	631000	-0.05882353
chr01	632000	-0.04489796
chr01	633000	-0.04434907
chr01	634000	0.03735632
chr01	635000	-0.03943662
chr01	636000	0.01542777
chr01	637000	0.07565337
chr01	638000	0.12356322
chr01	639000	0.01027900
chr01	640000	0.02803738
chr01	641000	0.17595308
chr01	642000	-0.03880597
chr01	643000	-0.07913669
chr01	644000	-0.11659808
chr01	645000	-0.05459770
chr01	646000	-0.05947441
chr01	647000	-0.19154557
chr01	648000	-0.03129252
chr01	649000	-0.06406685
chr01	650000	0.00976290
chr01	651000	-0.04749340
chr01	652000	0.10541311
chr01	653000	-0.07234043
chr01	654000	-0.06685237
chr01	655000	-0.10982659
chr01	656000	-0.05915493
chr01	657000	-0.07713885
chr01	658000	0.04299584
chr01	659000	-0.04213483
chr01	660000	-0.06685633
chr01	661000	-0.01823282
chr01	662000	0.09272468
chr01	663000	0.06371191
chr01	664000	0.00000000
chr01	665000	-0.05433186
chr01	666000	0.15088757
chr01	667000	-0.00872093
chr01	668000	0.08771930
chr01	669000	-0.09064748
chr01	670000	-0.11396011
chr01	671000	-0.12228261
chr01	672000	-0.08885755
chr01	673000	0.00588235
chr01	674000	-0.02292264
chr01	675000	0.10404624
chr01	676000	0.08571429
chr01	677000	-0.00890208
chr01	678000	-0.00828729
chr01	679000	0.05234160
chr01	680000	-0.00423131
chr01	681000	-0.02298851
chr01	682000	0.05291723
chr01	683000	-0.03763441
chr01	684000	0.00924703
chr01	685000	0.06429549
chr01	686000	-0.08064516
chr01	687000	-0.09625668
chr01	688000	-0.02824859
chr01	689000	0.03234880
chr01	690000	0.04931507
chr01	691000	0.04232804
chr01	692000	-0.04803493
chr01	693000	-0.08430233
chr01	694000	0.02872777
chr01	695000	-0.01662050
chr01	696000	-0.00568182
chr01	697000	0.03056769
chr01	698000	-0.00276243
chr01	699000	0.07242340
chr01	700000	-0.03536068
chr01	701000	-0.01404494
chr01	702000	0.06740028
chr01	703000	0.05760709
chr01	704000	0.09746328
chr01	705000	0.07547170
chr01	706000	-0.05059524
chr01	707000	0.01457726
chr01	708000	0.00676590
chr01	709000	-0.03047091
chr01	710000	-0.08169014
chr01	711000	-0.11204482
chr01	712000	-0.05602241
chr01	713000	-0.03617945
chr01	714000	-0.06930693
chr01	715000	-0.03030303
chr01	716000	-0.00142653
chr01	717000	0.04179104
chr01	718000	0.02305476
chr01	719000	0.02678571
chr01	720000	0.00152207
chr01	721000	0.02606310
chr01	722000	0.11240876
chr01	723000	0.04409673
chr01	724000	-0.00295858
chr01	725000	-0.00998573
chr01	726000	0.09286676
chr01	727000	-0.09510086
chr01	728000	-0.09809264
chr01	729000	-0.11647727
chr01	730000	-0.20291971
chr01	731000	-0.15107914
chr01	732000	-0.18860244
chr01	733000	-0.03724138
chr01	734000	0.00821918
chr01	735000	-0.08571429
chr01	736000	-0.02571861
chr01	737000	0.10575636
chr01	738000	0.11080332
chr01	739000	0.08695652
chr01	740000	0.07584270
chr01	741000	0.02103787
chr01	742000	-0.15353805
chr01	743000	-0.14973262
chr01	744000	-0.16823688
chr01	745000	-0.10198675
chr01	746000	-0.05405405
chr01	747000	-0.06738544
chr01	748000	-0.13589744
chr01	749000	-0.07330567
chr01	750000	0.00136054
chr01	751000	-0.10460251
chr01	752000	-0.00693481
chr01	753000	0.04787962
chr01	754000	-0.11797753
chr01	755000	-0.17712692
chr01	756000	-0.03899721
chr01	757000	-0.00564972
chr01	758000	-0.06284153
chr01	759000	-0.01675978
chr01	760000	-0.03506311
chr01	761000	0.09170306
chr01	762000	0.11299435
chr01	763000	-0.06743185
chr01	764000	-0.02898551
chr01	765000	-0.00831025
chr01	766000	-0.01685393
chr01	767000	0.00849858
chr01	768000	-0.09193777
chr01	769000	0.04502046
chr01	770000	0.07204611
chr01	771000	0.09876543
chr01	772000	-0.04628331
chr01	773000	0.10773481
chr01	774000	0.10294118
chr01	775000	-0.05471125
chr01	776000	-0.03120357
chr01	777000	-0.11441308
chr01	778000	-0.12517581
chr01	779000	-0.05675676
chr01	780000	-0.01960784
chr01	781000	-0.11627907
chr01	782000	-0.14534884
chr01	783000	-0.14446003
chr01	784000	0.03932584
chr01	785000	-0.00416089
chr01	786000	-0.10439560
chr01	787000	-0.03419973
chr01	788000	-0.06179775
chr01	789000	0.01479290
chr01	790000	0.05217391
chr01	791000	0.13079019
chr01	792000	-0.00800000
chr01	793000	-0.00432900
chr01	794000	0.12727273
chr01	795000	0.05531915
chr01	796000	0.08670520
chr01	797000	0.11080332
chr01	798000	-0.02332362
chr01	799000	0.10030395
chr01	800000	0.14782609
chr01	801000	0.13249651
chr01	802000	0.09749304
chr01	803000	0.10559006
chr01	804000	0.02718169
chr01	805000	0.04252401
chr01	806000	0.06099291
chr01	807000	0.08430233
chr01	808000	0.13818722
chr01	809000	0.12676056
chr01	810000	0.12074303
chr01	811000	-0.05799151
chr01	812000	-0.04904632
chr01	813000	-0.00824176
chr01	814000	0.00135685
chr01	815000	0.03234880
chr01	816000	0.08298172
chr01	817000	0.09344491
chr01	818000	0.00564972
chr01	819000	0.01997337
chr01	820000	-0.05794948
chr01	821000	0.04208999
chr01	822000	-0.01569187
chr01	823000	0.01381215
chr01	824000	0.14647887
chr01	825000	0.07359307
chr01	826000	0.06187050
chr01	827000	0.06451613
chr01	828000	0.08928571
chr01	829000	0.03438790
chr01	830000	0.12771739
chr01	831000	0.07275321
chr01	832000	0.01001431
chr01	833000	0.00000000
chr01	834000	-0.00992908
chr01	835000	0.02453102
chr01	836000	-0.01564723
chr01	837000	-0.01648352
chr01	838000	0.00000000
chr01	839000	-0.02346041
chr01	840000	0.15774240
chr01	841000	0.05307263
chr01	842000	-0.01166181
chr01	843000	0.05056180
chr01	844000	0.00000000
chr01	845000	-0.00987306
chr01	846000	-0.04285714
chr01	847000	0.02479339
chr01	848000	-0.04395604
chr01	849000	-0.05394191
chr01	850000	0.00537634
chr01	851000	0.01569187
chr01	852000	-0.02533532
chr01	853000	-0.10982659
chr01	854000	-0.03878116
chr01	855000	0.05187320
chr01	856000	-0.04833837
chr01	857000	-0.03170029
chr01	858000	-0.06512301
chr01	859000	-0.07174231
chr01	860000	-0.08522727
chr01	861000	-0.05099150
chr01	862000	0.01875902
chr01	863000	-0.01179941
chr01	864000	0.01013025
chr01	865000	-0.05354559
chr01	866000	0.07479224
chr01	867000	0.08520179
chr01	868000	-0.09696970
chr01	869000	-0.00872093
chr01	870000	-0.10397554
chr01	871000	-0.05899705
chr01	872000	0.06030856
chr01	873000	0.11590296
chr01	874000	0.11609499
chr01	875000	-0.01671309
chr01	876000	-0.05117566
chr01	877000	-0.06521739
chr01	878000	0.01833568
chr01	879000	-0.00153139
chr01	880000	-0.01615272
chr01	881000	0.04054054
chr01	882000	0.02975420
chr01	883000	-0.11175617
chr01	884000	-0.07932011
chr01	885000	-0.02331962
chr01	886000	-0.05982906
chr01	887000	-0.04514364
chr01	888000	-0.00423131
chr01	889000	0.00000000
chr01	890000	0.05124451
chr01	891000	0.05812221
chr01	892000	0.00619195
chr01	893000	-0.06104651
chr01	894000	-0.08656716
chr01	895000	-0.09686610
chr01	896000	-0.09171598
chr01	897000	-0.07288630
chr01	898000	0.02099738
chr01	899000	0.00000000
chr01	900000	-0.04947526
chr01	901000	-0.00869565
chr01	902000	-0.03639010
chr01	903000	-0.02095808
chr01	904000	-0.03857567
chr01	905000	-0.07025411
chr01	906000	-0.06841339
chr01	907000	-0.06647399
chr01	908000	-0.04172662
chr01	909000	-0.02312139
chr01	910000	0.10181311
chr01	911000	0.07736390
chr01	912000	0.04815864
chr01	913000	-0.05306122
chr01	914000	0.07539118
chr01	915000	0.16618911
chr01	916000	0.12573099
chr01	917000	-0.01362398
chr01	918000	0.07183908
chr01	919000	0.03089888
chr01	920000	-0.02627939
chr01	921000	0.00588235
chr01	922000	0.10256410
chr01	923000	0.00277778
chr01	924000	0.00000000
chr01	925000	0.05524862
chr01	926000	0.10000000
chr01	927000	-0.01111111
chr01	928000	-0.02493075
chr01	929000	0.07692308
chr01	930000	0.12107623
chr01	931000	-0.02733813
chr01	932000	-0.04874446
chr01	933000	-0.05602241
chr01	934000	-0.02040816
chr01	935000	-0.04336043
chr01	936000	-0.06162465
chr01	937000	0.02202643
chr01	938000	-0.08160443
chr01	939000	-0.05098039
chr01	940000	-0.09941520
chr01	941000	-0.11301860
chr01	942000	-0.15202232
chr01	943000	-0.15186246
chr01	944000	-0.14552737
chr01	945000	-0.13561848
chr01	946000	-0.16246499
chr01	947000	-0.09423347
chr01	948000	-0.10355030
chr01	949000	-0.05882353
chr01	950000	-0.12256267
chr01	951000	-0.07882535
chr01	952000	-0.16279070
chr01	953000	-0.05988024
chr01	954000	-0.13297872
chr01	955000	0.03793627
chr01	956000	-0.00149031
chr01	957000	-0.04881450
chr01	958000	-0.02840909
chr01	959000	0.00984529
chr01	960000	-0.07500000
chr01	961000	-0.04787234
chr01	962000	-0.05278592
chr01	963000	0.04335260
chr01	964000	0.00152207
chr01	965000	-0.02627512
chr01	966000	-0.10294118
chr01	967000	0.02909648
chr01	968000	0.01095462
chr01	969000	0.00928793
chr01	970000	-0.07064364
chr01	971000	-0.04619970
chr01	972000	-0.02831595
chr01	973000	-0.00780031
chr01	974000	-0.00903614
chr01	975000	-0.05182927
chr01	976000	0.00444444
chr01	977000	0.03012048
chr01	978000	-0.06456693
chr01	979000	-0.01669196
chr01	980000	0.01234568
chr01	981000	-0.04347826
chr01	982000	-0.01408451
chr01	983000	-0.02958580
chr01	984000	-0.08761329
chr01	985000	-0.00152672
chr01	986000	-0.01764706
chr01	987000	0.01679389
chr01	988000	0.03349282
chr01	989000	-0.03134796
chr01	990000	-0.00470958
chr01	991000	0.04105572
chr01	992000	0.01592357
chr01	993000	-0.00802568
chr01	994000	0.01033973
chr01	995000	0.02242152
chr01	996000	-0.03115265
chr01	997000	-0.05580694
chr01	998000	-0.01764706
chr01	999000	0.08936170
chr01	1000000	0.09850746
chr01	1001000	0.09018568
chr01	1002000	-0.01078582
chr01	1003000	-0.00578035
chr01	1004000	0.03333333
chr01	1005000	0.08987161
chr01	1006000	0.13218391
chr01	1007000	0.06536857
chr01	1008000	0.01724138
chr01	1009000	0.09720373
chr01	1010000	0.11838791
chr01	1011000	-0.02841678
chr01	1012000	0.06366048
chr01	1013000	0.05075446
chr01	1014000	0.02092050
chr01	1015000	0.00272480
chr01	1016000	-0.05686546
chr01	1017000	0.02857143
chr01	1018000	-0.03840683
chr01	1019000	-0.03172414
chr01	1020000	0.03511053
chr01	1021000	-0.05988024
chr01	1022000	0.00414938
chr01	1023000	0.03377386
chr01	1024000	-0.06726457
chr01	1025000	-0.02234637
chr01	1026000	-0.15134371
chr01	1027000	-0.12033195
chr01	1028000	-0.05218618
